Topic,GradeLevel,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
Environment,low,지구를 지키는 가장 좋은 방법은?,분리수거를 한다,물을 낭비한다,쓰레기를 버린다,전기를 켜둔다,A
Environment,low,재활용이란 무엇인가요?,다시 사용하는 것,버리는 것,태우는 것,묻는 것,A
Environment,low,자연을 보호하는 방법이 아닌 것은?,나무를 심는다,쓰레기를 버린다,분리수거를 한다,물을 아낀다,B
Environment,low,지구 온난화를 막는 방법은?,대중교통을 이용한다,자동차를 많이 탄다,전기를 많이 쓴다,물을 낭비한다,A
Environment,low,환경 친화적인 행동은?,장바구니를 사용한다,비닐봉투를 많이 쓴다,일회용품을 쓴다,쓰레기를 버린다,A
Environment,high,지속가능한 발전이란?,미래 세대를 위해 자원을 아끼는 것,지금 당장 편하게 사는 것,자원을 마구 쓰는 것,환경을 파괴하는 것,A
Environment,high,탄소 발자국을 줄이는 방법은?,걸어서 이동한다,자동차를 많이 탄다,비행기를 탄다,에어컨을 많이 쓴다,A
Environment,high,생태계 보전의 중요성은?,생물 다양성 유지,자원 고갈,환경 오염,기후 변화,A
Environment,high,친환경 에너지가 아닌 것은?,태양광,석탄,풍력,수력,B
Environment,high,환경 보호를 위한 국제 협약은?,파리협정,무역협정,군사협정,문화협정,A
Literacy,low,글을 읽고 이해하는 능력을 무엇이라고 하나요?,문해력,운동능력,음악능력,요리능력,A
Literacy,low,책을 읽을 때 가장 중요한 것은?,이해하기,빨리 읽기,소리내기,그림보기,A
Literacy,low,글의 뜻을 파악하는 능력은?,독해력,운동력,음악력,요리력,A
Literacy,low,문장을 이해하는 능력이 부족하면?,의사소통이 어려워진다,운동을 못한다,노래를 못한다,요리를 못한다,A
Literacy,low,글을 읽고 내용을 파악하는 것은?,독서,운동,음악,요리,A
Literacy,high,문해력이 사회에 미치는 영향은?,정보 접근성 향상,운동 능력 향상,음악 감각 향상,요리 실력 향상,A
Literacy,high,디지털 시대의 문해력은?,디지털 리터러시,운동 리터러시,음악 리터러시,요리 리터러시,A
Literacy,high,정보를 비판적으로 읽는 능력은?,비판적 사고,운동 사고,음악 사고,요리 사고,A
Literacy,high,다양한 매체의 정보를 이해하는 능력은?,미디어 리터러시,운동 리터러시,음악 리터러시,요리 리터러시,A
Literacy,high,문해력 향상을 위한 가장 좋은 방법은?,독서,운동,음악감상,요리,A
Digital,low,컴퓨터의 기본 부품이 아닌 것은?,CPU,메모리,마우스,냉장고,D
Digital,low,인터넷을 안전하게 사용하는 방법은?,개인정보를 보호한다,모르는 사람과 만난다,비밀번호를 공유한다,의심스러운 링크를 클릭한다,A
Digital,low,스마트폰을 올바르게 사용하는 방법은?,시간을 정해 사용한다,하루 종일 사용한다,잠잘 때도 사용한다,식사할 때도 사용한다,A
Digital,low,디지털 기기를 사용할 때 주의할 점은?,건강에 좋지 않다,운동이 부족해진다,음악을 못 듣는다,요리를 못한다,A
Digital,low,컴퓨터를 사용할 때 올바른 자세는?,바른 자세로 앉는다,구부정하게 앉는다,눈을 가까이 한다,장시간 앉는다,A
Digital,high,인공지능(AI)이란?,컴퓨터가 사람처럼 생각하는 기술,운동하는 기술,음악을 만드는 기술,요리를 하는 기술,A
Digital,high,빅데이터의 의미는?,대용량 데이터,작은 데이터,운동 데이터,음악 데이터,A
Digital,high,사이버 보안이 중요한 이유는?,개인정보 보호,운동 보호,음악 보호,요리 보호,A
Digital,high,블록체인 기술의 특징은?,분산 저장,중앙 집중,운동 집중,음악 집중,A
Digital,high,클라우드 컴퓨팅의 장점은?,언제 어디서나 접근 가능,운동만 가능,음악만 가능,요리만 가능,A
